Archivo,Banda,DeltaR,Ángulo,Posición,Trial,MRE,F_ref,F_dom,F_card
DeltaR=8cm_Angle=30_Band1_Supine_Trial2.mat,Bandwidth1,8.0,30,Supine,2,0.10878906249999996,0.3004807692307692,0.267791748046875,0.926971435546875
DeltaR=8cm_Angle=30_Band1_Supine_Trial3.mat,Bandwidth1,8.0,30,Supine,3,0.04959862385321098,0.28658353365384615,0.272369384765625,1.01165771484375
DeltaR=8cm_Angle=30_Band1_Supine_Trial4.mat,Bandwidth1,8.0,30,Supine,4,0.0769415917843388,0.2925931490384615,0.27008056640625,0.959014892578125
DeltaR=8cm_Angle=30_Band1_Supine_Trial5.mat,Bandwidth1,8.0,30,Supine,5,0.05190325797872339,0.2824519230769231,0.267791748046875,1.009368896484375
DeltaR=8cm_Angle=30_Band1_Supine_Trial6.mat,Bandwidth1,8.0,30,Supine,6,0.038708847736625425,0.27381310096153844,0.263214111328125,0.9521484375
DeltaR=8cm_Angle=30_Band1_Supine_Trial7.mat,Bandwidth1,8.0,30,Supine,7,0.031513713080168745,0.26705228365384615,0.258636474609375,0.80108642578125
DeltaR=8cm_Angle=30_Band1_Supine_Trial8.mat,Bandwidth1,8.0,30,Supine,8,0.026390870185449247,0.2632962740384615,0.25634765625,1.036834716796875
DeltaR=10cm_Angle=0_Band2_Facedown_Trial1.mat,Bandwidth2,10.0,0,Facedown,1,0.1018955542021923,0.30836838942307687,0.276947021484375,1.155853271484375
DeltaR=10cm_Angle=0_Band2_Facedown_Trial2.mat,Bandwidth2,10.0,0,Facedown,2,0.1068262411347517,0.31775841346153844,0.2838134765625,1.032257080078125
DeltaR=10cm_Angle=0_Band2_Facedown_Trial3.mat,Bandwidth2,10.0,0,Facedown,3,0.0017123287671234012,0.3016075721153846,0.3021240234375,1.128387451171875
DeltaR=10cm_Angle=0_Band2_Facedown_Trial4.mat,Bandwidth2,10.0,0,Facedown,4,0.05380639097744367,0.2997295673076923,0.31585693359375,1.984405517578125
DeltaR=10cm_Angle=0_Band2_Facedown_Trial5.mat,Bandwidth2,10.0,0,Facedown,5,0.05453269484808462,0.28432992788461536,0.299835205078125,0.8148193359375
DeltaR=10cm_Angle=0_Band2_Facedown_Trial6.mat,Bandwidth2,10.0,0,Facedown,6,0.004789572864321537,0.29897836538461536,0.29754638671875,0.986480712890625
DeltaR=10cm_Angle=0_Band2_Facedown_Trial7.mat,Bandwidth2,10.0,0,Facedown,7,0.05052681992337158,0.29409555288461536,0.27923583984375,1.116943359375
DeltaR=10cm_Angle=0_Band2_Facedown_Trial8.mat,Bandwidth2,10.0,0,Facedown,8,0.03723404255319164,0.3001051682692307,0.311279296875,1.2359619140625
DeltaR=10cm_Angle=0_Band2_Lateral_Trial1.mat,Bandwidth2,10.0,0,Lateral,1,0.13783713692946073,0.27155949519230765,0.308990478515625,1.393890380859375
DeltaR=10cm_Angle=0_Band2_Lateral_Trial2.mat,Bandwidth2,10.0,0,Lateral,2,0.026582792207792135,0.28921274038461536,0.281524658203125,1.132965087890625
DeltaR=10cm_Angle=0_Band2_Lateral_Trial3.mat,Bandwidth2,10.0,0,Lateral,3,0.07670454545454536,0.2974759615384615,0.274658203125,0.9796142578125
DeltaR=10cm_Angle=0_Band2_Lateral_Trial4.mat,Bandwidth2,10.0,0,Lateral,4,0.04885912698412681,0.28395432692307687,0.27008056640625,1.714324951171875
