Archivo,Banda,DeltaR,Ángulo,Posición,Trial,ACC,F_ref,F_dom,F_card
DeltaR=27cm_Angle=0_Band1_Lateral_Trial1.mat,Bandwidth1,27.0,0,Lateral,1,0.5846487485779295,0.33015324519230765,0.193023681640625,0.812530517578125
DeltaR=27cm_Angle=0_Band1_Lateral_Trial2.mat,Bandwidth1,27.0,0,Lateral,2,0.7494329637096775,0.1862980769230769,0.139617919921875,1.19476318359375
DeltaR=27cm_Angle=0_Band1_Lateral_Trial3.mat,Bandwidth1,27.0,0,Lateral,3,0.9782047387606316,0.3091195913461538,0.31585693359375,1.080322265625
DeltaR=27cm_Angle=0_Band1_Lateral_Trial4.mat,Bandwidth1,27.0,0,Lateral,4,0.910818488943489,0.30573918269230765,0.278472900390625,1.2451171875
DeltaR=27cm_Angle=0_Band1_Lateral_Trial5.mat,Bandwidth1,27.0,0,Lateral,5,0.8416916167664671,0.31362680288461536,0.26397705078125,1.043701171875
DeltaR=27cm_Angle=0_Band1_Lateral_Trial6.mat,Bandwidth1,27.0,0,Lateral,6,0.8586525759577279,0.28432992788461536,0.244140625,1.25885009765625
DeltaR=27cm_Angle=0_Band1_Lateral_Trial7.mat,Bandwidth1,27.0,0,Lateral,7,0.9277482269503546,0.26479867788461536,0.24566650390625,0.98876953125
DeltaR=27cm_Angle=0_Band1_Lateral_Trial8.mat,Bandwidth1,27.0,0,Lateral,8,0.7609126984126984,0.35494290865384615,0.27008056640625,1.35955810546875
DeltaR=27cm_Angle=0_Band1_Supine_Trial1.mat,Bandwidth1,27.0,0,Supine,1,0.8952459723820483,0.3263972355769231,0.292205810546875,0.908660888671875
DeltaR=27cm_Angle=0_Band1_Supine_Trial2.mat,Bandwidth1,27.0,0,Supine,2,0.8918332241153343,0.28658353365384615,0.255584716796875,0.80108642578125
DeltaR=27cm_Angle=0_Band1_Supine_Trial3.mat,Bandwidth1,27.0,0,Supine,3,0.8701711683417086,0.29897836538461536,0.260162353515625,0.959014892578125
DeltaR=27cm_Angle=0_Band1_Supine_Trial4.mat,Bandwidth1,27.0,0,Supine,4,0.9565290933694182,0.2775691105769231,0.2655029296875,0.830841064453125
DeltaR=27cm_Angle=0_Band1_Supine_Trial5.mat,Bandwidth1,27.0,0,Supine,5,0.8742088607594938,0.2967247596153846,0.2593994140625,0.80108642578125
DeltaR=27cm_Angle=0_Band1_Supine_Trial6.mat,Bandwidth1,27.0,0,Supine,6,0.8510375494071147,0.2850811298076923,0.24261474609375,1.004791259765625
DeltaR=27cm_Angle=0_Band1_Supine_Trial7.mat,Bandwidth1,27.0,0,Supine,7,0.913111342351717,0.3609525240384615,0.32958984375,0.812530517578125
DeltaR=27cm_Angle=0_Band1_Supine_Trial8.mat,Bandwidth1,27.0,0,Supine,8,0.8581460674157304,0.3342848557692307,0.286865234375,0.835418701171875
DeltaR=8cm_Angle=30_Band1_Facedown_Trial1.mat,Bandwidth1,8.0,30,Facedown,1,0.8998935037273696,0.35268930288461536,0.3173828125,0.8056640625
DeltaR=8cm_Angle=30_Band1_Facedown_Trial2.mat,Bandwidth1,8.0,30,Facedown,2,0.8626838235294119,0.3192608173076923,0.275421142578125,1.1077880859375
DeltaR=8cm_Angle=30_Band1_Facedown_Trial3.mat,Bandwidth1,8.0,30,Facedown,3,0.9079247434435577,0.3294020432692307,0.299072265625,0.849151611328125
DeltaR=8cm_Angle=30_Band1_Facedown_Trial4.mat,Bandwidth1,8.0,30,Facedown,4,0.9098307291666667,0.3245192307692307,0.295257568359375,1.132965087890625
DeltaR=8cm_Angle=30_Band1_Facedown_Trial5.mat,Bandwidth1,8.0,30,Facedown,5,0.7520120724346078,0.3733473557692307,0.28076171875,1.036834716796875
DeltaR=8cm_Angle=30_Band1_Facedown_Trial6.mat,Bandwidth1,8.0,30,Facedown,6,0.829408042744657,0.3339092548076923,0.276947021484375,0.917816162109375
DeltaR=8cm_Angle=30_Band1_Facedown_Trial7.mat,Bandwidth1,8.0,30,Facedown,7,0.8732927553444181,0.3162560096153846,0.27618408203125,1.3092041015625
DeltaR=8cm_Angle=30_Band1_Facedown_Trial8.mat,Bandwidth1,8.0,30,Facedown,8,0.8237223756906078,0.33991887019230765,0.279998779296875,0.807952880859375
DeltaR=8cm_Angle=30_Band1_Lateral_Trial1.mat,Bandwidth1,8.0,30,Lateral,1,0.8983523965141613,0.34480168269230765,0.30975341796875,1.045989990234375
DeltaR=8cm_Angle=30_Band1_Lateral_Trial2.mat,Bandwidth1,8.0,30,Lateral,2,0.6622109826589595,0.3248948317307692,0.21514892578125,0.8697509765625
DeltaR=8cm_Angle=30_Band1_Lateral_Trial3.mat,Bandwidth1,8.0,30,Lateral,3,0.40025684931506855,0.35644531249999994,0.142669677734375,1.988983154296875
DeltaR=8cm_Angle=30_Band1_Lateral_Trial4.mat,Bandwidth1,8.0,30,Lateral,4,0.3838052486187846,0.33991887019230765,0.130462646484375,1.142120361328125
DeltaR=8cm_Angle=30_Band1_Lateral_Trial5.mat,Bandwidth1,8.0,30,Lateral,5,0.47925854465270123,0.3406700721153846,0.16326904296875,0.839996337890625
DeltaR=8cm_Angle=30_Band1_Lateral_Trial6.mat,Bandwidth1,8.0,30,Lateral,6,0.9807260479041916,0.31362680288461536,0.319671630859375,1.0711669921875
DeltaR=8cm_Angle=30_Band1_Lateral_Trial7.mat,Bandwidth1,8.0,30,Lateral,7,0.7004310344827587,0.31588040865384615,0.22125244140625,1.54266357421875
DeltaR=8cm_Angle=30_Band1_Lateral_Trial8.mat,Bandwidth1,8.0,30,Lateral,8,0.867630700778643,0.33766526442307687,0.29296875,1.72576904296875
DeltaR=8cm_Angle=30_Band1_Supine_Trial1.mat,Bandwidth1,8.0,30,Supine,1,0.8849463882618511,0.33278245192307687,0.29449462890625,0.803375244140625
DeltaR=8cm_Angle=30_Band1_Supine_Trial2.mat,Bandwidth1,8.0,30,Supine,2,0.8716575386597938,0.29146634615384615,0.254058837890625,1.00250244140625
